"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","232.31926033986934","323.0582975949717","4.655635272447966","-0.3110632460863657","0.005126953125","0.00634765625","0.00390625","1244.4444444444443","0.00024628156915416807","0.0","0.00024628156915416807","0.00024628156915416807","0_1:0.008019301261510736;0_14:0.016741334091236515","0_1:561;0_14:561","true"
"1","521.0552804202151","130.86193138748442","4.5349600609448295","-0.31302980539784336","0.015869140625","0.01123046875","0.0205078125","1244.4444444444443","0.00025800631073034084","0.0","0.00025800631073034084","0.00025800631073034084","1_2:0.0074276700176008625","1_2:561","true"
"2","272.73794752613907","142.77383610540738","4.680131009856867","-0.3092563684570482","0.01171875","0.009765625","0.013671875","1244.4444444444443","0.0001388883161076381","0.0","0.0001388883161076381","0.0001388883161076381","2_3:0.0037776716932765297","2_3:583","true"
"3","249.63594857402217","142.13468228326232","4.606646979039873","-0.25135835423971303","0.00634765625","0.0048828125","0.0078125","1244.4444444444443","0.00013157412506504206","0.0","0.00013157412506504206","0.00013157412506504206","","","true"
"4","541.8192633031138","227.85974291043976","4.462321218561688","-0.25507850560311957","0.084716796875","0.06982421875","0.099609375","1244.4444444444443","0.0005785499017988612","0.0","0.0005785499017988612","0.0005785499017988612","4_3:0.007621085322507715;4_15:0.010061693911905756","4_3:561;4_15:583","true"
"5","438.15356415087024","442.81284248188086","4.42668270528158","-0.2804432142711162","0.016357421875","0.0244140625","0.00830078125","1244.4444444444443","0.00014712283440322798","0.0","0.00014712283440322798","0.00014712283440322798","5_4:0.008907939207895899","5_4:561","true"
"6","372.89584789278797","185.4006400646429","4.64008281369921","-0.3108103399516748","0.0126953125","0.0087890625","0.0166015625","1244.4444444444443","0.0005524889172936539","0.0","0.0005524889172936539","0.0005524889172936539","6_5:0.010183466815234576","6_5:583","true"
"7","410.7681347984127","363.2063834652582","4.475705728229978","-0.2813271220492828","0.005126953125","0.00390625","0.00634765625","1244.4444444444443","0.0007408353492705658","0.0","0.0007408353492705658","0.0007408353492705658","7_6:0.02053353177556061;7_8:0.11467667153563527","7_6:561;7_8:561","true"
"8","423.20033408167046","316.26113499159607","4.401861321822477","-0.25507427876459826","0.15283203125","0.263671875","0.0419921875","1244.4444444444443","0.021766568248319643","0.0","0.021766568248319643","0.021766568248319643","8_9:1.0","8_9:561","true"
"9","454.1564258582864","376.3262951626362","4.519007019080786","-0.29730654926594685","0.01416015625","0.017578125","0.0107421875","1244.4444444444443","0.00021471972916615046","0.0","0.00021471972916615046","0.00021471972916615046","","","true"
"10","233.40333886532412","78.30533009331471","4.62836418888635","","0.011962890625","0.01123046875","0.0126953125","1244.4444444444443","0.00020046734263090522","0.0","0.00020046734263090522","0.00020046734263090522","10_9:0.008814301299051308;10_11:0.008341175574114179","10_9:583;10_11:561","true"
"11","242.62157929437254","220.72528313966023","4.5715190711683915","-0.31187801080194943","0.004638671875","0.005859375","0.00341796875","1244.4444444444443","0.0001569262262206274","0.0","0.0001569262262206274","0.0001569262262206274","11_12:0.00816966645075845","11_12:583","true"
"12","378.7884970988112","378.88050890271586","4.4643349961207734","-0.3114335997689411","0.017822265625","0.0146484375","0.02099609375","1244.4444444444443","0.0003690382564516519","0.0","0.0003690382564516519","0.0003690382564516519","","","true"
"13","446.8310757521897","91.48537843271934","4.573358602102173","","0.0263671875","0.0224609375","0.0302734375","1244.4444444444443","0.00029316741207714237","0.0","0.00029316741207714237","0.00029316741207714237","13_12:0.006356776120883978","13_12:561","true"
"14","277.32414902676476","330.23714298621314","4.603980299498701","-0.3075149117337717","0.005126953125","0.0068359375","0.00341796875","1244.4444444444443","0.0007816503291475928","0.0","0.0007816503291475928","0.0007816503291475928","14_18:0.00916010107077575","14_18:583","true"
"15","380.5148007759491","70.9926395505747","4.495946525908636","-0.3235838974181829","0.0263671875","0.0146484375","0.0380859375","1244.4444444444443","0.00046635399536137245","0.0","0.00046635399536137245","0.00046635399536137245","","","true"
"16","421.7006835936474","127.82068064772756","4.513223181798372","-0.31250997509736017","0.03125","0.0224609375","0.0400390625","1244.4444444444443","0.00017140123418502853","0.0","0.00017140123418502853","0.00017140123418502853","16_8:0.03745633972538531","16_8:583","true"
"17","413.9342007875416","69.63560089463772","4.675767300097434","-0.3222371456169295","0.058837890625","0.0634765625","0.05419921875","1244.4444444444443","0.0007396952386321108","0.0","0.0007396952386321108","0.0007396952386321108","17_12:0.039796973198419405;17_30:0.04956275460238502","17_12:561;17_30:561","true"
"18","433.1155608043481","49.281615809927345","4.514795714933109","-0.32147907217387134","0.005126953125","0.00830078125","0.001953125","1244.4444444444443","9.441784484056268e-05","0.0","9.441784484056268e-05","9.441784484056268e-05","","","true"
"19","333.4311638524518","214.71675401882166","4.4441347767072665","-0.3142519677447134","0.036376953125","0.03466796875","0.0380859375","1244.4444444444443","0.00010393332919300902","0.0","0.00010393332919300902","0.00010393332919300902","19_18:0.006690444826896347","19_18:561","true"
"20","339.0853438381704","375.1828995075223","4.341294259686809","-0.31659680563840864","0.03759765625","0.0380859375","0.037109375","1244.4444444444443","0.00020175756918260423","0.0","0.00020175756918260423","0.00020175756918260423","20_19:0.006968863341089315","20_19:583","true"
"21","460.13330547249427","200.50194356575602","4.485177985261963","-0.3137510643214938","0.013427734375","0.01025390625","0.0166015625","1244.4444444444443","0.008518178422834928","0.0","0.008518178422834928","0.008518178422834928","21_20:0.060054737868549646;21_22:0.027749803090133474","21_20:561;21_22:583","true"
"22","357.88071469841464","77.1937803857095","4.382948254031234","-0.3235699465364606","0.01708984375","0.01318359375","0.02099609375","1244.4444444444443","0.00029683665620779224","0.0","0.00029683665620779224","0.00029683665620779224","22_15:0.018149085321195135;22_23:0.007031654495294748","22_15:561;22_23:561","true"
"23","366.3085538123374","224.28322640519997","4.531768252492845","-0.34910557092715694","0.019287109375","0.025390625","0.01318359375","1244.4444444444443","0.0003692824680025944","0.0","0.0003692824680025944","0.0003692824680025944","23_24:0.012275526193757047","23_24:561","true"
"24","279.97420964851904","64.22718195242905","4.646177450751882","-0.3098937587669715","0.03515625","0.03662109375","0.03369140625","1244.4444444444443","0.0003493405599772543","0.0","0.0003493405599772543","0.0003493405599772543","24_25:0.009292619326662033","24_25:561","true"
"25","233.11461183692754","270.27334464097993","4.702185054472153","-0.3104687819443247","0.008056640625","0.0078125","0.00830078125","1244.4444444444443","0.00010681665153554137","0.0","0.00010681665153554137","0.00010681665153554137","","","true"
"26","219.62803350377453","99.1169433243085","4.648806260185732","","0.014404296875","0.0107421875","0.01806640625","1244.4444444444443","0.0021192359989482593","0.0","0.0021192359989482593","0.0021192359989482593","26_16:0.03449813039029653;26_25:0.018609766567887598;26_27:0.046780251329996636","26_16:561;26_25:561;26_27:583","true"
"27","332.557869074629","85.03105020263008","4.6100373361671485","-0.2878947957747321","0.02978515625","0.0234375","0.0361328125","1244.4444444444443","0.00036034833522222983","0.0","0.00036034833522222983","0.00036034833522222983","","","true"
"28","162.32937852863975","10.93371745807039","4.516881051400209","-0.31512500613226163","0.010009765625","0.0087890625","0.01123046875","1244.4444444444443","0.00035764517463496867","0.0","0.00035764517463496867","0.00035764517463496867","28_27:0.01400970764261944","28_27:561","true"
"29","370.3552342447836","291.9396826793077","4.460020844142292","-0.3164470706353105","0.013427734375","0.01611328125","0.0107421875","1244.4444444444443","0.00031933292508105497","0.0","0.00031933292508105497","0.00031933292508105497","29_28:0.02339737883318327;29_30:0.01686317423881456","29_28:561;29_30:561","true"
"30","261.38301339728554","136.0188136677001","4.646542416561139","-0.2835614267270895","0.080078125","0.076171875","0.083984375","1244.4444444444443","0.0010802528814139337","0.0","0.0010802528814139337","0.0010802528814139337","","","true"
"31","329.44374555262414","149.60927895829292","4.612997525558622","-0.3112675880038357","0.009521484375","0.01611328125","0.0029296875","1244.4444444444443","0.0004255028495932177","0.0","0.0004255028495932177","0.0004255028495932177","31_30:0.015381821928992012;31_32:0.009370891217503896","31_30:561;31_32:561","true"
"32","320.63676515264206","105.41346912633394","4.499279735427995","-0.3128171150093984","0.04248046875","0.0439453125","0.041015625","1244.4444444444443","0.00015926592062224534","0.0","0.00015926592062224534","0.00015926592062224534","","","true"
"33","391.2205240158313","260.77675377180896","4.596925255173368","","0.002197265625","0.00244140625","0.001953125","1244.4444444444443","0.00011696621402006257","0.0","0.00011696621402006257","0.00011696621402006257","33_20:0.008212423615590048;33_39:0.015693144858227148","33_20:561;33_39:561","true"
"34","365.11624272831125","171.38030866925735","4.5619630254486525","","0.011962890625","0.01123046875","0.0126953125","1244.4444444444443","0.0023224384723237964","0.0","0.0023224384723237964","0.0023224384723237964","34_24:0.011643481110605702","34_24:561","true"
"35","309.52736654464366","66.3952596693868","4.721871736688125","-0.30795810239191124","0.00927734375","0.01123046875","0.00732421875","1244.4444444444443","0.0002759973330275988","0.0","0.0002759973330275988","0.0002759973330275988","35_28:0.016189605131843587;35_47:0.014315630846706673","35_28:561;35_47:583","true"
"36","345.941238680082","189.77028437839286","4.608021917593615","-0.31164624269239977","0.008544921875","0.01171875","0.00537109375","1244.4444444444443","0.00018906693939184453","0.0","0.00018906693939184453","0.00018906693939184453","36_32:0.004467169426718487;36_51:0.007550106255183653","36_32:561;36_51:561","true"
"37","420.7135575419307","245.14258469459392","4.497759303444013","","0.02734375","0.0185546875","0.0361328125","1244.4444444444443","0.0023024808168160982","0.0","0.0023024808168160982","0.0023024808168160982","37_38:0.01976213231843371;37_52:0.024898592001370456","37_38:583;37_52:561","true"
"38","491.32913577782995","345.664716122354","4.475497030707271","-0.33539586706236296","0.0087890625","0.01025390625","0.00732421875","1244.4444444444443","0.001411038447795512","0.0","0.001411038447795512","0.001411038447795512","","","true"
"39","483.4137225482638","67.42686637406638","4.504426818463584","-0.31295465019890567","0.010009765625","0.0146484375","0.00537109375","1244.4444444444443","0.0007107641425952351","0.0","0.0007107641425952351","0.0007107641425952351","39_38:0.038292140297304655","39_38:561","true"
"40","337.3254197904221","32.608481067193914","4.4643469544826155","-0.33809284738007156","0.019287109375","0.029296875","0.00927734375","1244.4444444444443","0.0006009390877882231","0.0","0.0006009390877882231","0.0006009390877882231","40_39:0.017860010760256784;40_41:0.01823840191468895","40_39:561;40_41:561","true"
