"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","337.67385741946134","134.7377278948215","4.63564653509558","-0.3132760394092362","0.007080078125","0.005859375","0.00830078125","1216","0.00012367307004043505","0.0","0.00012367307004043505","0.00012367307004043505","","","true"
"1","306.35738386608125","262.32339167063316","4.736286266907726","-0.3129180725120383","0.08935546875","0.10107421875","0.07763671875","1216","0.0008698342087617825","0.0","0.0008698342087617825","0.0008698342087617825","1_0:0.02752559721710046;1_2:0.007909577905780285","1_0:533;1_2:533","true"
"2","260.3211878308971","200.49666129986815","4.81917157846191","-0.3112951524093254","0.1484375","0.0869140625","0.2099609375","1216","0.00017871478265339173","0.0","0.00017871478265339173","0.00017871478265339173","","","true"
"3","428.245283643156","378.9344577546173","4.747175662450042","-0.3111534699659636","0.026611328125","0.01416015625","0.0390625","1216","0.0001332011806622569","0.0","0.0001332011806622569","0.0001332011806622569","3_2:0.004792454747433728","3_2:533","true"
"4","374.5102758361673","403.2000024633619","4.787859986498653","-0.31094540176555985","0.100341796875","0.00634765625","0.1943359375","1216","0.00023616804016301856","0.0","0.00023616804016301856","0.00023616804016301856","4_3:0.0037467058967765032;4_15:0.004688671156325042","4_3:533;4_15:533","true"
"5","113.88133067137412","308.37993374696117","4.850837137834636","-0.31056606217183785","0.106689453125","0.1806640625","0.03271484375","1216","1.0","0.0","1.0","1.0","5_4:0.004027491696810159","5_4:533","true"
"6","237.40349651795418","129.78661537416892","4.899524575645181","-0.3090557835234433","0.12548828125","0.033203125","0.2177734375","1216","0.00025447015944669827","0.0","0.00025447015944669827","0.00025447015944669827","6_5:0.006185786338194277","6_5:533","true"
"7","277.71574607842945","62.61095306795752","4.755893964041008","-0.31100390518358323","0.173828125","0.02587890625","0.32177734375","1216","0.00046120547735083753","0.0","0.00046120547735083753","0.00046120547735083753","7_6:0.005620047481804502;7_8:0.011446289097957696","7_6:533;7_8:533","true"
"8","394.1651058571488","17.282471331162924","4.812576599595734","-0.31334511346081884","0.04931640625","0.02880859375","0.06982421875","1216","1.0","0.0","1.0","1.0","8_9:0.021309085665804417","8_9:533","true"
"9","291.84655218305363","62.55186227602997","4.637801336158916","-0.29264088813258476","0.12109375","0.07958984375","0.16259765625","1216","0.0014603307664729577","0.0","0.0014603307664729577","0.0014603307664729577","","","true"
"10","224.75299024753664","73.01242160645704","4.804403928380822","-0.31122742580861","0.003173828125","0.00244140625","0.00390625","1216","0.00034155493017176686","0.0","0.00034155493017176686","0.00034155493017176686","10_9:0.026756917968171534;10_11:0.013076147154787887","10_9:533;10_11:533","true"
"11","335.4626802277394","86.6082366084571","4.743312703051369","-0.31179417408967897","0.012939453125","0.0126953125","0.01318359375","1216","0.0001833756475727793","0.0","0.0001833756475727793","0.0001833756475727793","11_12:0.004496334921390621","11_12:533","true"
"12","506.39311589374853","374.72332940924997","4.62598392113292","-0.31372359565205904","0.053466796875","0.06005859375","0.046875","1216","0.0002255521958214191","0.0","0.0002255521958214191","0.0002255521958214191","12_13:0.006371988193527078","12_13:533","true"
"13","415.06452460832935","311.3970289639589","4.556971062611858","-0.31377871528415735","0.0634765625","0.02685546875","0.10009765625","1216","0.001652917555357535","0.0","0.001652917555357535","0.001652917555357535","","","true"
"14","262.62408162006733","58.688942344091","4.510077487124072","-0.3157712274724498","0.051025390625","0.0322265625","0.06982421875","1216","0.00020360330292042687","0.0","0.00020360330292042687","0.00020360330292042687","14_0:0.007467641990738183;14_18:0.010470376324332675","14_0:533;14_18:533","true"
"15","473.318692112023","319.080312480952","4.59906133344212","-0.32044986829453664","0.08154296875","0.04296875","0.1201171875","1216","0.00020898147412623657","0.0","0.00020898147412623657","0.00020898147412623657","","","true"
"16","216.33600320896278","53.01341336663521","4.937435319049979","-0.3088315131283205","0.151123046875","0.208984375","0.09326171875","1216","0.0005945942730205513","0.0","0.0005945942730205513","0.0005945942730205513","16_8:0.006427686871924909","16_8:533","true"
"17","284.3764328275727","44.34315106952938","4.752767554510435","-0.31153154230934604","0.010498046875","0.013671875","0.00732421875","1216","0.00035158872846969083","0.0","0.00035158872846969083","0.00035158872846969083","17_12:0.0053907348688145285;17_30:0.007059587217601138","17_12:590;17_30:590","true"
"18","65.29011553729471","19.133345075758044","4.659345027676251","-0.2892599847835004","0.089599609375","0.044921875","0.13427734375","1216","0.0005150819639454881","0.0","0.0005150819639454881","0.0005150819639454881","18_19:0.014690257714151","18_19:533","true"
"19","404.73254183232075","119.93265510484387","4.820731467468387","-0.31198328628677313","0.02197265625","0.01513671875","0.02880859375","1216","0.00011404992463179659","0.0","0.00011404992463179659","0.00011404992463179659","19_20:0.004033129772159083","19_20:533","true"
"20","285.738544374921","93.4220197410546","4.738294674478502","-0.3119696404967832","0.082275390625","0.06005859375","0.1044921875","1216","0.0001775748375767637","0.0","0.0001775748375767637","0.0001775748375767637","20_33:0.007237851467481959","20_33:533","true"
"21","259.09599296857147","18.897402273370783","4.773888347966474","-0.3114254225761893","0.0419921875","0.041015625","0.04296875","1216","0.0002994278498212014","0.0","0.0002994278498212014","0.0002994278498212014","21_20:0.009591973154740696;21_22:0.010946304506133653","21_20:533;21_22:803","true"
"22","337.139063854144","249.21995238450162","4.668477320613357","-0.31331663183442576","0.177001953125","0.10791015625","0.24609375","1216","0.00015087741606347715","0.0","0.00015087741606347715","0.00015087741606347715","22_15:0.00419988977495267","22_15:590","true"
"23","462.2647419542905","71.90734968550517","4.75808587482262","-0.31173856129806604","0.168212890625","0.02783203125","0.30859375","1216","0.00012579919532789959","0.0","0.00012579919532789959","0.00012579919532789959","23_22:0.003954128486147235;23_24:0.010028153370147841","23_22:533;23_24:533","true"
"24","348.3745980298573","38.97233622324617","4.611457938387019","-0.31354982608399573","0.1005859375","0.07666015625","0.12451171875","1216","0.00021388509303113003","0.0","0.00021388509303113003","0.00021388509303113003","","","true"
"25","261.72723562050135","306.67491458758576","4.731535834587814","-0.3122550841543125","0.02294921875","0.02001953125","0.02587890625","1216","0.00016709535619117933","0.0","0.00016709535619117933","0.00016709535619117933","25_24:0.004906467828762917","25_24:533","true"
"26","77.38020668037987","87.22877040418369","4.777338594594051","-0.31228117808626144","0.005859375","0.00927734375","0.00244140625","1216","0.00026591324691878056","0.0","0.00026591324691878056","0.00026591324691878056","26_16:0.006583066276865113;26_25:0.005920585356148256;26_27:0.0072673831912302145","26_16:533;26_25:533;26_27:533","true"
"27","385.43957729109366","134.68100455365965","4.680343499087594","-0.31282791406798793","0.00634765625","0.00830078125","0.00439453125","1216","0.0002244299858989337","0.0","0.0002244299858989337","0.0002244299858989337","","","true"
"28","222.17743196100196","72.81747914221684","4.74349106425547","-0.27186381179166696","0.05615234375","0.03759765625","0.07470703125","1216","0.00878311713393707","0.0","0.00878311713393707","0.00878311713393707","28_27:0.024310000845678137","28_27:533","true"
